ID,Titulo,tiempos_inicio (segs.),tiempos_fin (segs.)
,,1497.51,1498.29
,,1521.33,1521.93
,,1557.84,1558.317246
,,1563.96,1564.41
,,1604.25,1604.76
329.CA.AGN.L1.03,"Conferencia del Diplomático Felipe Barreda Laos: ""La paz del Chaco en sus 30 años""; acto realizado en el Instituto Popular de Conferencias. Parte 1.",69.42,70.14
,,247.35,247.75541
,,488.64,489.12
,,1272.68,1273.22
,,1361.742266,1362.17
,,1775.648457,1776.14
107.CA.AGN.L1.01,Audiencia concendida a los delegados del Congreso de Trabajadores Marítimos y Arbitros de Fútbol. Parte 2.,82.38,82.745134
,,140.0071,140.61
,,173.373354,173.760073
,,196.29,196.868057
,,199.5427,200.072212
,,200.79,201.29981
,,201.959722,202.38
,,203.79,204.24
,,223.53,224.37
,,264.21,264.664629
,,283.08,283.620029
,,340.23,340.62
,,370.32,370.74
,,412.26,412.86
,,587.91,588.27
,,599.85,600.151523
,,618.35,618.83
,,629.45,629.99
,,633.8,634.22
,,642.32,642.71
,,656.57,656.96
,,694.04,694.49
,,704.96,705.56
,,715.97,716.45
,,725.15,725.87
,,795.08,795.500425
,,881.810029,882.165459
,,895.94,896.42
,,901.97,902.33
,,909.68,910.16
,,926.09,926.42
,,1038.082461,1038.47
,,1141.431113,1141.79
,,1143.08,1143.41
,,1213.52,1214.0
,,1224.920745,1225.28041
,,1231.85,1232.24
,,1244.54,1244.93
,,1265.72,1266.26
,,1370.45,1370.78
,,1386.89,1387.46
,,1409.63,1410.02
,,1423.370293,1423.82
,,1449.8,1450.277158
,,1452.77,1453.279575
,,1453.46,1453.79
,,1476.23,1476.53
,,1482.805156,1483.279619
,,1488.98,1489.489854
,,1495.04,1495.4
,,1506.77,1507.07
,,1510.61,1511.0
,,1530.776797,1531.31
,,1551.5,1551.95
,,1560.35,1560.68
,,1561.61,1562.0
,,1566.74,1567.12959
,,1568.96,1569.315576
,,1657.49,1657.91
,,1658.486064,1658.87
,,1690.37,1690.849004
,,1710.56,1710.92
,,1726.16,1726.58
,,1730.78,1731.17
,,1740.44,1740.795605
,,1760.93,1761.56
,,1765.64,1766.03
,,1797.11,1797.62
,,1825.8,1826.4
,,1837.56,1837.95
380.CA.AGN.L2.02,Acto de asunción de las nuevas autoridades electas en la Sociedad Argentina de Autores y Compositores (SADAIC).,53.37,53.97
,,903.505166,904.08
,,939.6,940.2
,,940.68,941.25
376.CA.AGN.L1.02,"Homenaje al Cardenal Primado de la Argentina, Monseñor Dr.Antonio Caggiano y al Padre Dr. Guillermo Furlong, al cumplir 80 años de vida. Parte 1.",145.41,146.04
,,783.52,784.06
,,4084.72,4085.23
354.CA.AGN.L2.02,"Conferencia del Doctor en bioquímica, Mario M. Zakin, en la Academia Nacional de Medicina: ""Estructura de Inmunoglobulina"".",153.36,153.663237
,,193.98,194.39606
,,367.38,367.8
254.CA.AGN.L2.01,Apertura del período legislativo de 1964,775.01,775.400483
,,937.850439,938.36
,,3642.796807,3643.19
,,3652.37,3652.91
742.D40.AGN.LB.01,Primera Convención de Sanidad Ferroviaria Justicialista. Parte 4.,11.43,11.88
,,45.621573,46.148108
,,62.49,62.843196
,,71.94,72.36
,,97.47,97.95
,,99.583894,100.253159
,,133.5,133.98
,,264.87,265.259238
,,294.63,295.05
,,373.5,373.98
,,436.02,436.32
,,459.42,459.802852
99.CA.AGN.L1.02,"Discurso del Presidente de Chile, Gral. Carlos Ibañez del Campo, ante la audiencia concedida a los congresales de sanidad de San Juan.",139.32,139.92
,,343.74,344.31
,,389.22,389.88
,,465.72,466.26
,,479.52,480.13043
,,586.38,586.8
,,599.16,599.7
,,641.13,641.76
,,750.24,750.72
,,852.9,853.574458
,,871.5,872.13
,,879.69,880.26
340.CA.AGN.L1.01,"Conferencia del Dr. Marius Barnard en la Universidad del Salvador: ""Trasplante de Corazón"". Parte 2.",172.23,172.77
,,3435.68,3436.07
889.D40.AGN.LA.01,Apertura del 88° Periodo Legislativo. Año 1954. Parte 3.,239.892187,240.51
,,426.42,427.14
,,538.954102,539.426309
,,574.08,574.735605
190.CA.RA.L1.03,El Dr. Adolfo Diz formula declaraciones luego de asumir sus funciones como Presidente del Banco Central. ,24.9,25.17
228.CA.AGN.L1.02,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista al Dr. Raúl Matera.",37.65,38.13
,,644.65,645.1
,,753.37,754.03
,,763.45,763.93
,,1151.59,1152.25
,,1264.56,1265.168588
,,1475.67,1476.24
,,1859.96,1860.56
,,1905.38,1906.16
,,2083.04,2083.58
,,2085.11,2085.77
,,2100.02,2100.59
,,2108.84,2109.29
,,2171.09,2171.63
,,2302.58,2303.03
,,2391.38,2392.13
,,2413.07,2413.85
,,2457.56,2458.22
,,2547.62,2548.64
339.CA.AGN.L2.01,"Conferencia de prensa con motivo de la visita de los Dres. Marius Barnard, Cristóbal Martínez Bordiú y Domingo Liotta en el Alvear Palace Hotel de Buenos Aires. Parte 2.",634.75,635.05
,,868.78,869.166836
,,2272.911074,2273.349297
372.CA.AGN.L1.01,"Conferencia del Dr. Alberto Benegas Lynch en el acto de su incorporación como miembro de número de la Academia Nacional de Ciencias Económicas. Tema: ""Raíz ideológica de la decadencia"". Parte 2.",2347.988223,2348.39
,,2354.57,2355.08
